Index;MODEL;RMSD_LB;RMSD_UB;SCORE;SDFMoleculeName;SMILES;TORSDO
0;1.0;0.0;0.0;-5.3;CHEMBL1326498;CC1=C(CCOC(=O)C23CC4CC(CC(C4)C2)C3)SC=N1;F 5
0;1.0;0.0;0.0;-5.3;CHEMBL1625135;CC1=C(CCOC(=O)C2C3CC4CC(C3)CC2C4)SC=N1;F 5
0;1.0;0.0;0.0;-5.2;CHEMBL3480938;CC1=CC(N2CCN(C(=O)CCC3=C(C)N=CS3)CC2)=CC(C)=N1;F 4
0;1.0;0.0;0.0;-5.1;CHEMBL2172683;CC1=C(CCN2C=C(C3=CC=CC=C3)N=N2)SC=N1;F 4
0;1.0;0.0;0.0;-5.1;CHEMBL3477154;[H]OC1=CC=CC(O[H])=C1C(=O)N(C)CCC1=C(C)N=CS1;F 6
1;2.0;0.972;2.104;-5.1;CHEMBL1625135;CC1=C(CCOC(=O)C2C3CC4CC(C3)CC2C4)SC=N1;F 5
1;2.0;3.111;9.891;-5.1;CHEMBL3480938;CC1=CC(N2CCN(C(=O)CCC3=C(C)N=CS3)CC2)=CC(C)=N1;F 4
2;3.0;2.624;4.043;-5.0;CHEMBL3480938;CC1=CC(N2CCN(C(=O)CCC3=C(C)N=CS3)CC2)=CC(C)=N1;F 4
0;1.0;0.0;0.0;-4.9;CHEMBL1419411;CC1=C(CCOC(=O)C2=CC=C(Cl)C=C2)SC=N1;F 5
1;2.0;2.01;2.62;-4.9;CHEMBL1326498;CC1=C(CCOC(=O)C23CC4CC(CC(C4)C2)C3)SC=N1;F 5
2;3.0;2.715;3.433;-4.9;CHEMBL1625135;CC1=C(CCOC(=O)C2C3CC4CC(C3)CC2C4)SC=N1;F 5
3;4.0;2.885;9.379;-4.9;CHEMBL3480938;CC1=CC(N2CCN(C(=O)CCC3=C(C)N=CS3)CC2)=CC(C)=N1;F 4
4;5.0;3.273;5.571;-4.9;CHEMBL3480938;CC1=CC(N2CCN(C(=O)CCC3=C(C)N=CS3)CC2)=CC(C)=N1;F 4
0;1.0;0.0;0.0;-4.8;CHEMBL1617558;CC1=C(CCOC(=O)C2=CC=CC=C2)SC=N1;F 5
0;1.0;0.0;0.0;-4.8;CHEMBL1625376;CC1=C(CCOC(=O)C2=CC=C(N(=O)=O)C=C2)SC=N1;F 6
0;1.0;0.0;0.0;-4.8;CHEMBL3483821;[H]OC1=CC=CN=C1C(=O)N(C)CCC1=C(C)N=CS1;F 5
2;3.0;1.565;2.355;-4.8;CHEMBL1326498;CC1=C(CCOC(=O)C23CC4CC(CC(C4)C2)C3)SC=N1;F 5
0;1.0;0.0;0.0;-4.7;CHEMBL1438876;[H]OC1=NN=C(SCCC2=C(C)N=CS2)N1C1=CC=CC=C1;F 6
0;1.0;0.0;0.0;-4.7;CHEMBL1740596;CC1=C(CCOC(=O)C2=CN=CC=C2)SC=N1;F 5
0;1.0;0.0;0.0;-4.7;CHEMBL4564232;[H]N(CCN1([H])CCCC1)C(=O)CCC1=C(C)N=CS1;F 6
1;2.0;3.812;8.514;-4.7;CHEMBL3477154;[H]OC1=CC=CC(O[H])=C1C(=O)N(C)CCC1=C(C)N=CS1;F 6
3;4.0;2.953;7.718;-4.7;CHEMBL1625135;CC1=C(CCOC(=O)C2C3CC4CC(C3)CC2C4)SC=N1;F 5
0;1.0;0.0;0.0;-4.6;CHEMBL3483991;[H]N(CC1=CSC(N(C)C)=N1)C(=O)CCC1=C(C)N=CS1;F 5
0;1.0;0.0;0.0;-4.6;CHEMBL4576460;[H]N(CCC1=C(C)N=CS1)C(=O)C(C(C)(C)C)N([H])([H])[H];F 6
1;2.0;1.67;2.231;-4.6;CHEMBL3483821;[H]OC1=CC=CN=C1C(=O)N(C)CCC1=C(C)N=CS1;F 5
3;4.0;2.18;3.199;-4.6;CHEMBL1326498;CC1=C(CCOC(=O)C23CC4CC(CC(C4)C2)C3)SC=N1;F 5
0;1.0;0.0;0.0;-4.5;CHEMBL4516779;[H]OC1=NC=C(C(=O)N(C)CCC2=C(C)N=CS2)N=C1;F 5
0;1.0;0.0;0.0;-4.5;CHEMBL4575169;[H]N1C=C(C(=O)N([H])CCCC2=C(C)N=CS2)C=N1;F 5
1;2.0;2.111;2.569;-4.5;CHEMBL4575169;[H]N1C=C(C(=O)N([H])CCCC2=C(C)N=CS2)C=N1;F 5
1;2.0;3.331;8.395;-4.5;CHEMBL1625376;CC1=C(CCOC(=O)C2=CC=C(N(=O)=O)C=C2)SC=N1;F 6
4;5.0;4.059;4.791;-4.5;CHEMBL1326498;CC1=C(CCOC(=O)C23CC4CC(CC(C4)C2)C3)SC=N1;F 5
5;6.0;2.942;8.287;-4.5;CHEMBL3480938;CC1=CC(N2CCN(C(=O)CCC3=C(C)N=CS3)CC2)=CC(C)=N1;F 4
0;1.0;0.0;0.0;-4.4;CHEMBL3454460;[H]N(C)(CCC1=C(C)N=CS1)CC1=CC=C(Br)O1;F 5
0;1.0;0.0;0.0;-4.4;CHEMBL3475809;[H]OCC1=CC=C(CN([H])(C)CCC2=C(C)N=CS2)O1;F 7
0;1.0;0.0;0.0;-4.4;CHEMBL4525811;[H]OC1CCC(C(=O)N(C)CCC2=C(C)N=CS2)CC1;F 5
0;1.0;0.0;0.0;-4.4;CHEMBL4550384;[H]N(CCCC1=C(C)N=CS1)C(=O)C1=NC=CN=C1;F 5
1;2.0;3.353;7.674;-4.4;CHEMBL4516779;[H]OC1=NC=C(C(=O)N(C)CCC2=C(C)N=CS2)N=C1;F 5
1;2.0;5.678;8.584;-4.4;CHEMBL1438876;[H]OC1=NN=C(SCCC2=C(C)N=CS2)N1C1=CC=CC=C1;F 6
2;3.0;1.699;2.323;-4.4;CHEMBL1625376;CC1=C(CCOC(=O)C2=CC=C(N(=O)=O)C=C2)SC=N1;F 6
5;6.0;1.476;2.473;-4.4;CHEMBL1326498;CC1=C(CCOC(=O)C23CC4CC(CC(C4)C2)C3)SC=N1;F 5
0;1.0;0.0;0.0;-4.3;CHEMBL4593083;[H]N(CCCC1=C(C)N=CS1)C(=O)CN([H])C(=O)N(C)C;F 6
1;2.0;1.553;2.124;-4.3;CHEMBL4550384;[H]N(CCCC1=C(C)N=CS1)C(=O)C1=CN=CC=N1;F 5
1;2.0;1.569;1.793;-4.3;CHEMBL4525811;[H]OC1CCC(C(=O)N(C)CCC2=C(C)N=CS2)CC1;F 5
1;2.0;3.779;7.235;-4.3;CHEMBL3475809;[H]OCC1=CC=C(CN([H])(C)CCC2=C(C)N=CS2)O1;F 7
1;2.0;4.946;6.994;-4.3;CHEMBL1617558;CC1=C(CCOC(=O)C2=CC=CC=C2)SC=N1;F 5
2;3.0;4.247;6.925;-4.3;CHEMBL1438876;[H]OC1=NN=C(SCCC2=C(C)N=CS2)N1C1=CC=CC=C1;F 6
2;3.0;6.026;7.858;-4.3;CHEMBL3477154;[H]OC1=CC=CC(O[H])=C1C(=O)N(C)CCC1=C(C)N=CS1;F 6
4;5.0;3.242;7.829;-4.3;CHEMBL1625135;CC1=C(CCOC(=O)C2C3CC4CC(C3)CC2C4)SC=N1;F 5
6;7.0;4.467;6.54;-4.3;CHEMBL1326498;CC1=C(CCOC(=O)C23CC4CC(CC(C4)C2)C3)SC=N1;F 5
0;1.0;0.0;0.0;-4.2;CHEMBL4539956;[H]N(CCC1=C(C)N=CS1)C(=O)C(C(C)C)N([H])([H])C;F 6
0;1.0;0.0;0.0;-4.2;CHEMBL4560094;[H]OC(CCSC)C(=O)N([H])CCC1=C(C)N=CS1;F 8
1;2.0;2.794;8.176;-4.2;CHEMBL4564232;[H]N(CCN1([H])CCCC1)C(=O)CCC1=C(C)N=CS1;F 6
2;3.0;2.324;3.052;-4.2;CHEMBL3483821;[H]OC1=C(C(=O)N(C)CCC2=C(C)N=CS2)N=CC=C1;F 5
2;3.0;4.59;8.023;-4.2;CHEMBL4564232;[H]N(CCN1([H])CCCC1)C(=O)CCC1=C(C)N=CS1;F 6
3;4.0;2.537;3.149;-4.2;CHEMBL1625376;CC1=C(CCOC(=O)C2=CC=C(N(=O)=O)C=C2)SC=N1;F 6
3;4.0;4.86;7.699;-4.2;CHEMBL1438876;[H]OC1=NN=C(SCCC2=C(C)N=CS2)N1C1=CC=CC=C1;F 6
4;5.0;4.032;6.769;-4.2;CHEMBL1438876;[H]OC1=NN=C(SCCC2=C(C)N=CS2)N1C1=CC=CC=C1;F 6
6;7.0;3.036;4.869;-4.2;CHEMBL3480938;CC1=CC(N2CCN(C(=O)CCC3=C(C)N=CS3)CC2)=CC(C)=N1;F 4
0;1.0;0.0;0.0;-4.1;CHEMBL4570627;CC1=C(CCN(C)C(=O)C2=NON=C2)SC=N1;F 4
1;2.0;1.986;2.199;-4.1;CHEMBL4539956;[H]N(CCC1=C(C)N=CS1)C(=O)C(C(C)C)N([H])([H])C;F 6
1;2.0;2.887;3.766;-4.1;CHEMBL3483991;[H]N(CC1=CSC(N(C)C)=N1)C(=O)CCC1=C(C)N=CS1;F 5
1;2.0;2.992;7.963;-4.1;CHEMBL2172683;CC1=C(CCN2C=C(C3=CC=CC=C3)N=N2)SC=N1;F 4
2;3.0;2.059;2.423;-4.1;CHEMBL4516779;[H]OC1=NC=C(C(=O)N(C)CCC2=C(C)N=CS2)N=C1;F 5
3;4.0;4.609;6.078;-4.1;CHEMBL3477154;[H]OC1=CC=CC(O[H])=C1C(=O)N(C)CCC1=C(C)N=CS1;F 6
7;8.0;3.9;5.344;-4.1;CHEMBL3480938;CC1=CC(N2CCN(C(=O)CCC3=C(C)N=CS3)CC2)=CC(C)=N1;F 4
8;9.0;2.986;4.656;-4.1;CHEMBL3480938;CC1=CC(N2CCN(C(=O)CCC3=C(C)N=CS3)CC2)=CC(C)=N1;F 4
0;1.0;0.0;0.0;-4.0;CHEMBL3478166;[H]N(C)(CCC1=C(C)N=CS1)CC1=C(C)C=CS1;F 5
0;1.0;0.0;0.0;-4.0;CHEMBL3752078;CCCCCCCOCCC1=C(C)N=CS1;F 9
1;2.0;2.11;6.905;-4.0;CHEMBL1740596;CC1=C(CCOC(=O)C2=CN=CC=C2)SC=N1;F 5
1;2.0;2.288;2.77;-4.0;CHEMBL4576460;[H]N(CCC1=C(C)N=CS1)C(=O)C(C(C)(C)C)N([H])([H])[H];F 6
2;3.0;2.703;3.71;-4.0;CHEMBL4575169;[H]N1C=C(C(=O)N([H])CCCC2=C(C)N=CS2)C=N1;F 5
2;3.0;5.693;6.796;-4.0;CHEMBL1617558;CC1=C(CCOC(=O)C2=CC=CC=C2)SC=N1;F 5
3;4.0;1.795;2.436;-4.0;CHEMBL4516779;[H]OC1=NC=C(C(=O)N(C)CCC2=C(C)N=CS2)N=C1;F 5
3;4.0;3.878;5.01;-4.0;CHEMBL1617558;CC1=C(CCOC(=O)C2=CC=CC=C2)SC=N1;F 5
4;5.0;1.523;2.207;-4.0;CHEMBL4516779;[H]OC1=NC=C(C(=O)N(C)CCC2=C(C)N=CS2)N=C1;F 5
4;5.0;3.252;7.21;-4.0;CHEMBL3477154;[H]OC1=CC=CC(O[H])=C1C(=O)N(C)CCC1=C(C)N=CS1;F 6
5;6.0;3.095;7.434;-4.0;CHEMBL1625135;CC1=C(CCOC(=O)C2C3CC4CC(C3)CC2C4)SC=N1;F 5
6;7.0;1.425;2.389;-4.0;CHEMBL1625135;CC1=C(CCOC(=O)C2C3CC4CC(C3)CC2C4)SC=N1;F 5
7;8.0;1.879;2.982;-4.0;CHEMBL1326498;CC1=C(CCOC(=O)C23CC4CC(CC(C4)C2)C3)SC=N1;F 5
1;2.0;1.776;2.458;-3.9;CHEMBL3478166;[H]N(C)(CCC1=C(C)N=CS1)CC1=C(C)C=CS1;F 5
1;2.0;3.351;7.038;-3.9;CHEMBL4570627;CC1=C(CCN(C)C(=O)C2=NON=C2)SC=N1;F 4
1;2.0;7.157;9.304;-3.9;CHEMBL4560094;[H]OC(CCSC)C(=O)N([H])CCC1=C(C)N=CS1;F 8
2;3.0;1.771;2.669;-3.9;CHEMBL4576460;[H]N(CCC1=C(C)N=CS1)C(=O)C(C(C)(C)C)N([H])([H])[H];F 6
2;3.0;3.041;7.787;-3.9;CHEMBL4525811;[H]OC1CCC(C(=O)N(C)CCC2=C(C)N=CS2)CC1;F 5
2;3.0;4.452;7.173;-3.9;CHEMBL4539956;[H]N(CCC1=C(C)N=CS1)C(=O)C(C(C)C)N([H])([H])C;F 6
3;4.0;2.138;2.694;-3.9;CHEMBL4564232;[H]N(CCN1([H])CCCC1)C(=O)CCC1=C(C)N=CS1;F 6
4;5.0;3.275;8.076;-3.9;CHEMBL1625376;CC1=C(CCOC(=O)C2=CC=C(N(=O)=O)C=C2)SC=N1;F 6
5;6.0;3.518;5.129;-3.9;CHEMBL1438876;[H]OC1=NN=C(SCCC2=C(C)N=CS2)N1C1=CC=CC=C1;F 6
0;1.0;0.0;0.0;-3.8;CHEMBL3228123;[H]OCCC1=C(C(F)(F)F)N=CS1;F 4
0;1.0;0.0;0.0;-3.8;CHEMBL365225;[H]OCCC1=C(C(=O)N([H])C2=NC=CS2)N=CS1;F 4
1;2.0;2.239;5.646;-3.8;CHEMBL365225;[H]OCCC1=C(C(=O)N([H])C2=NC=CS2)N=CS1;F 4
2;3.0;3.174;4.337;-3.8;CHEMBL4560094;[H]OC(CCSC)C(=O)N([H])CCC1=C(C)N=CS1;F 8
3;4.0;5.024;7.182;-3.8;CHEMBL4539956;[H]N(CCC1=C(C)N=CS1)C(=O)C(C(C)C)N([H])([H])C;F 6
3;4.0;5.532;8.578;-3.8;CHEMBL3483821;[H]OC1=CC=CN=C1C(=O)N(C)CCC1=C(C)N=CS1;F 5
5;6.0;7.28;9.688;-3.8;CHEMBL3477154;[H]OC1=CC=CC(O[H])=C1C(=O)N(C)CCC1=C(C)N=CS1;F 6
6;7.0;3.588;6.681;-3.8;CHEMBL1438876;[H]OC1=NN=C(SCCC2=C(C)N=CS2)N1C1=CC=CC=C1;F 6
7;8.0;3.412;4.305;-3.8;CHEMBL1625135;CC1=C(CCOC(=O)C2C3CC4CC(C3)CC2C4)SC=N1;F 5
7;8.0;3.69;6.002;-3.8;CHEMBL1438876;[H]OC1=NN=C(SCCC2=C(C)N=CS2)N1C1=CC=CC=C1;F 6
8;9.0;2.296;3.22;-3.8;CHEMBL1326498;CC1=C(CCOC(=O)C23CC4CC(CC(C4)C2)C3)SC=N1;F 5
1;2.0;2.358;2.964;-3.7;CHEMBL3228123;[H]OCCC1=C(C(F)(F)F)N=CS1;F 4
1;2.0;5.249;7.819;-3.7;CHEMBL1419411;CC1=C(CCOC(=O)C2=CC=C(Cl)C=C2)SC=N1;F 5
1;2.0;5.504;6.971;-3.7;CHEMBL4593083;[H]N(CCCC1=C(C)N=CS1)C(=O)CN([H])C(=O)N(C)C;F 6
2;3.0;2.075;6.727;-3.7;CHEMBL3478166;[H]N(C)(CCC1=C(C)N=CS1)CC1=C(C)C=CS1;F 5
2;3.0;2.349;2.952;-3.7;CHEMBL3483991;[H]N(CC1=CSC(N(C)C)=N1)C(=O)CCC1=C(C)N=CS1;F 5
2;3.0;3.255;8.032;-3.7;CHEMBL4550384;[H]N(CCCC1=C(C)N=CS1)C(=O)C1=CN=CC=N1;F 5
2;3.0;3.648;7.31;-3.7;CHEMBL3475809;[H]OCC1=CC=C(CN([H])(C)CCC2=C(C)N=CS2)O1;F 7
2;3.0;4.388;6.119;-3.7;CHEMBL1740596;CC1=C(CCOC(=O)C2=CN=CC=C2)SC=N1;F 5
2;3.0;6.0;7.905;-3.7;CHEMBL4570627;CC1=C(CCN(C)C(=O)C2=NON=C2)SC=N1;F 4
3;4.0;3.542;8.229;-3.7;CHEMBL4560094;[H]OC(CCSC)C(=O)N([H])CCC1=C(C)N=CS1;F 8
4;5.0;4.394;5.491;-3.7;CHEMBL1617558;CC1=C(CCOC(=O)C2=CC=CC=C2)SC=N1;F 5
4;5.0;4.75;7.095;-3.7;CHEMBL3483821;[H]OC1=C(C(=O)N(C)CCC2=C(C)N=CS2)N=CC=C1;F 5
5;6.0;3.919;6.423;-3.7;CHEMBL1617558;CC1=C(CCOC(=O)C2=CC=CC=C2)SC=N1;F 5
5;6.0;3.993;8.63;-3.7;CHEMBL3483821;[H]OC1=C(C(=O)N(C)CCC2=C(C)N=CS2)N=CC=C1;F 5
6;7.0;6.471;8.973;-3.7;CHEMBL3477154;[H]OC1=CC=CC(O[H])=C1C(=O)N(C)CCC1=C(C)N=CS1;F 6
0;1.0;0.0;0.0;-3.6;CHEMBL3478212;CCN(CCOC)C(=O)CCC1=C(C)N=CS1;F 7
2;3.0;4.118;5.069;-3.6;CHEMBL365225;[H]OCCC1=C(C(=O)N([H])C2=NC=CS2)N=CS1;F 4
3;4.0;1.925;2.2;-3.6;CHEMBL4550384;[H]N(CCCC1=C(C)N=CS1)C(=O)C1=CN=CC=N1;F 5
3;4.0;2.532;3.216;-3.6;CHEMBL1740596;CC1=C(CCOC(=O)C2=CN=CC=C2)SC=N1;F 5
3;4.0;5.916;10.724;-3.6;CHEMBL4576460;[H]N(CCC1=C(C)N=CS1)C(=O)C(C(C)(C)C)N([H])([H])[H];F 6
4;5.0;2.269;2.506;-3.6;CHEMBL4550384;[H]N(CCCC1=C(C)N=CS1)C(=O)C1=NC=CN=C1;F 5
5;6.0;3.571;7.609;-3.6;CHEMBL1625376;CC1=C(CCOC(=O)C2=CC=C(N(=O)=O)C=C2)SC=N1;F 6
5;6.0;3.836;5.176;-3.6;CHEMBL4516779;[H]OC1=NC=C(C(=O)N(C)CCC2=C(C)N=CS2)N=C1;F 5
7;8.0;5.945;7.159;-3.6;CHEMBL3477154;[H]OC1=CC=CC(O[H])=C1C(=O)N(C)CCC1=C(C)N=CS1;F 6
8;9.0;2.557;3.816;-3.6;CHEMBL1625135;CC1=C(CCOC(=O)C2C3CC4CC(C3)CC2C4)SC=N1;F 5
8;9.0;3.182;4.817;-3.6;CHEMBL3477154;[H]OC1=CC=CC(O[H])=C1C(=O)N(C)CCC1=C(C)N=CS1;F 6
8;9.0;3.414;5.226;-3.6;CHEMBL1438876;[H]OC1=NN=C(SCCC2=C(C)N=CS2)N1C1=CC=CC=C1;F 6
1;2.0;3.57;6.781;-3.5;CHEMBL3478212;CCN(CCOC)C(=O)CCC1=C(C)N=CS1;F 7
2;3.0;2.662;3.595;-3.5;CHEMBL3228123;[H]OCCC1=C(C(F)(F)F)N=CS1;F 4
2;3.0;4.858;6.223;-3.5;CHEMBL1419411;CC1=C(CCOC(=O)C2=CC=C(Cl)C=C2)SC=N1;F 5
2;3.0;5.197;9.644;-3.5;CHEMBL4593083;[H]N(CCCC1=C(C)N=CS1)C(=O)CN([H])C(=O)N(C)C;F 6
3;4.0;5.274;8.219;-3.5;CHEMBL4570627;CC1=C(CCN(C)C(=O)C2=NON=C2)SC=N1;F 4
4;5.0;2.433;3.198;-3.5;CHEMBL1740596;CC1=C(CCOC(=O)C2=CN=CC=C2)SC=N1;F 5
4;5.0;2.662;7.348;-3.5;CHEMBL4539956;[H]N(CCC1=C(C)N=CS1)C(=O)C(C(C)C)N([H])([H])C;F 6
4;5.0;3.539;6.459;-3.5;CHEMBL4564232;[H]N(CCN1([H])CCCC1)C(=O)CCC1=C(C)N=CS1;F 6
5;6.0;3.925;6.934;-3.5;CHEMBL4564232;[H]N(CCN1([H])CCCC1)C(=O)CCC1=C(C)N=CS1;F 6
6;7.0;4.606;5.653;-3.5;CHEMBL1617558;CC1=C(CCOC(=O)C2=CC=CC=C2)SC=N1;F 5
6;7.0;4.893;7.089;-3.5;CHEMBL3483821;[H]OC1=C(C(=O)N(C)CCC2=C(C)N=CS2)N=CC=C1;F 5
0;1.0;0.0;0.0;-3.4;CHEMBL2172682;CC1=C(CCN2C=CN=N2)SC=N1;F 3
0;1.0;0.0;0.0;-3.4;CHEMBL3228122;[H]OCCC1=C(C)N=C(F)S1;F 3
1;2.0;4.635;7.713;-3.4;CHEMBL3454460;[H]N(C)(CCC1=C(C)N=CS1)CC1=CC=C(Br)O1;F 5
2;3.0;3.411;7.894;-3.4;CHEMBL2172683;CC1=C(CCN2C=C(C3=CC=CC=C3)N=N2)SC=N1;F 4
3;4.0;1.802;2.931;-3.4;CHEMBL365225;[H]OCCC1=C(C(=O)N([H])C2=NC=CS2)N=CS1;F 4
3;4.0;2.457;7.54;-3.4;CHEMBL3483991;[H]N(CC1=CSC(N(C)C)=N1)C(=O)CCC1=C(C)N=CS1;F 5
3;4.0;3.764;4.739;-3.4;CHEMBL3228123;[H]OCCC1=C(C(F)(F)F)N=CS1;F 4
3;4.0;4.803;8.68;-3.4;CHEMBL4575169;[H]N1C=C(C(=O)N([H])CCCC2=C(C)N=CS2)C=N1;F 5
4;5.0;2.191;8.186;-3.4;CHEMBL3483991;[H]N(CC1=CSC(N(C)C)=N1)C(=O)CCC1=C(C)N=CS1;F 5
4;5.0;4.253;6.249;-3.4;CHEMBL365225;[H]OCCC1=C(C(=O)N([H])C2=NC=CS2)N=CS1;F 4
4;5.0;4.921;6.532;-3.4;CHEMBL4576460;[H]N(CCC1=C(C)N=CS1)C(=O)C(C(C)(C)C)N([H])([H])[H];F 6
5;6.0;5.424;9.224;-3.4;CHEMBL1740596;CC1=C(CCOC(=O)C2=CN=CC=C2)SC=N1;F 5
6;7.0;2.157;3.092;-3.4;CHEMBL4516779;[H]OC1=NC=C(C(=O)N(C)CCC2=C(C)N=CS2)N=C1;F 5
6;7.0;3.439;8.188;-3.4;CHEMBL1625376;CC1=C(CCOC(=O)C2=CC=C(N(=O)=O)C=C2)SC=N1;F 6
7;8.0;4.121;8.656;-3.4;CHEMBL3483821;[H]OC1=CC=CN=C1C(=O)N(C)CCC1=C(C)N=CS1;F 5
0;1.0;0.0;0.0;-3.3;CHEMBL3236173;CC1=C(CCN=N=N)SC=N1;F 3
1;2.0;2.373;3.792;-3.3;CHEMBL3752078;CCCCCCCOCCC1=C(C)N=CS1;F 9
2;3.0;5.254;6.826;-3.3;CHEMBL3752078;CCCCCCCOCCC1=C(C)N=CS1;F 9
3;4.0;3.994;6.976;-3.3;CHEMBL3475809;[H]OCC1=CC=C(CN([H])(C)CCC2=C(C)N=CS2)O1;F 7
3;4.0;5.249;8.053;-3.3;CHEMBL2172683;CC1=C(CCN2C=C(C3=CC=CC=C3)N=N2)SC=N1;F 4
3;4.0;6.211;9.532;-3.3;CHEMBL1419411;CC1=C(CCOC(=O)C2=CC=C(Cl)C=C2)SC=N1;F 5
3;4.0;7.299;11.64;-3.3;CHEMBL4593083;[H]N(CCCC1=C(C)N=CS1)C(=O)CN([H])C(=O)N(C)C;F 6
4;5.0;2.968;7.186;-3.3;CHEMBL4575169;[H]N1C=C(C(=O)N([H])CCCC2=C(C)N=CS2)C=N1;F 5
4;5.0;4.921;9.115;-3.3;CHEMBL4570627;CC1=C(CCN(C)C(=O)C2=NON=C2)SC=N1;F 4
5;6.0;2.779;3.22;-3.3;CHEMBL4550384;[H]N(CCCC1=C(C)N=CS1)C(=O)C1=NC=CN=C1;F 5
5;6.0;2.956;3.722;-3.3;CHEMBL3483991;[H]N(CC1=CSC(N(C)C)=N1)C(=O)CCC1=C(C)N=CS1;F 5
5;6.0;4.856;6.703;-3.3;CHEMBL4570627;CC1=C(CCN(C)C(=O)C2=NON=C2)SC=N1;F 4
5;6.0;5.04;7.153;-3.3;CHEMBL4576460;[H]N(CCC1=C(C)N=CS1)C(=O)C(C(C)(C)C)N([H])([H])[H];F 6
6;7.0;3.119;7.104;-3.3;CHEMBL4564232;[H]N(CCN1([H])CCCC1)C(=O)CCC1=C(C)N=CS1;F 6
6;7.0;5.192;7.417;-3.3;CHEMBL1740596;CC1=C(CCOC(=O)C2=CN=CC=C2)SC=N1;F 5
7;8.0;3.549;4.404;-3.3;CHEMBL1740596;CC1=C(CCOC(=O)C2=CN=CC=C2)SC=N1;F 5
1;2.0;2.638;4.279;-3.2;CHEMBL3236173;CC1=C(CCN=N=N)SC=N1;F 3
1;2.0;4.664;7.622;-3.2;CHEMBL2172682;CC1=C(CCN2C=CN=N2)SC=N1;F 3
2;3.0;3.131;5.44;-3.2;CHEMBL2172682;CC1=C(CCN2C=CN=N2)SC=N1;F 3
2;3.0;5.171;7.497;-3.2;CHEMBL3454460;[H]N(C)(CCC1=C(C)N=CS1)CC1=CC=C(Br)O1;F 5
3;4.0;2.53;6.35;-3.2;CHEMBL3478166;[H]N(C)(CCC1=C(C)N=CS1)CC1=C(C)C=CS1;F 5
3;4.0;4.342;7.281;-3.2;CHEMBL3454460;[H]N(C)(CCC1=C(C)N=CS1)CC1=CC=C(Br)O1;F 5
3;4.0;5.606;6.69;-3.2;CHEMBL3752078;CCCCCCCOCCC1=C(C)N=CS1;F 9
